Id,alphabet,Description,Category,Prevalence_20192,Prevalence_20201,Prevalence_20202,Pre_Early_Prct,Early_Outbreak_Prct,Pre_Outbreak_Prct,Pre_rank,Early_rank,Outbreak_rank,Rank_change1,Rank_change2,Rank_change3
a084,a,"Viral intestinal infection, unspecified",Certain infectious and parasitic diseases,597,435,359,-0.271356784,-0.174712644,-0.398659966,918,1120,1275,202,155,357
a09,a,"Infectious gastroenteritis and colitis, unspecified",Certain infectious and parasitic diseases,538,443,452,-0.176579926,0.020316027,-0.159851301,1002,1106,1105,104,-1,103
a150,a,Tuberculosis of lung,Certain infectious and parasitic diseases,40,38,32,-0.05,-0.157894737,-0.2,4252,4174,4589,-78,415,337
a159,a,Respiratory tuberculosis unspecified,Certain infectious and parasitic diseases,29,20,15,-0.310344828,-0.25,-0.482758621,4914,5567,6124,653,557,1210
a280,a,Pasteurellosis,Certain infectious and parasitic diseases,46,38,32,-0.173913043,-0.157894737,-0.304347826,3978,4174,4589,196,415,611
a310,a,Pulmonary mycobacterial infection,Certain infectious and parasitic diseases,112,111,90,-0.008928571,-0.189189189,-0.196428571,2536,2430,2762,-106,332,226
a318,a,Other mycobacterial infections,Certain infectious and parasitic diseases,13,12,11,-0.076923077,-0.083333333,-0.153846154,6528,6543,6652,15,109,124
a319,a,"Mycobacterial infection, unspecified",Certain infectious and parasitic diseases,32,31,16,-0.03125,-0.483870968,-0.5,4701,4576,5993,-125,1417,1292
a400,a,"Sepsis due to streptococcus, group A",Certain infectious and parasitic diseases,83,113,74,0.361445783,-0.345132743,-0.108433735,2969,2419,3057,-550,638,88
a401,a,"Sepsis due to streptococcus, group B",Certain infectious and parasitic diseases,122,88,105,-0.278688525,0.193181818,-0.139344262,2406,2763,2516,357,-247,110
a403,a,Sepsis due to Streptococcus pneumoniae,Certain infectious and parasitic diseases,51,118,63,1.31372549,-0.466101695,0.235294118,3805,2362,3315,-1443,953,-490
a408,a,Other streptococcal sepsis,Certain infectious and parasitic diseases,138,130,109,-0.057971014,-0.161538462,-0.210144928,2247,2252,2473,5,221,226
a409,a,"Streptococcal sepsis, unspecified",Certain infectious and parasitic diseases,129,162,109,0.255813953,-0.327160494,-0.15503876,2322,1998,2473,-324,475,151
a4101,a,Sepsis due to Methicillin susceptible Staphylococcus aureus,Certain infectious and parasitic diseases,688,606,661,-0.119186047,0.090759076,-0.039244186,842,892,838,50,-54,-4
a4102,a,Sepsis due to Methicillin resistant Staphylococcus aureus,Certain infectious and parasitic diseases,484,493,468,0.018595041,-0.050709939,-0.033057851,1068,1026,1075,-42,49,7
a411,a,Sepsis due to other specified staphylococcus,Certain infectious and parasitic diseases,167,162,234,-0.02994012,0.444444444,0.401197605,2015,1996,1631,-19,-365,-384
a412,a,Sepsis due to unspecified staphylococcus,Certain infectious and parasitic diseases,45,57,62,0.266666667,0.087719298,0.377777778,4015,3455,3335,-560,-120,-680
a414,a,Sepsis due to anaerobes,Certain infectious and parasitic diseases,156,147,167,-0.057692308,0.136054422,0.070512821,2096,2099,1959,3,-140,-137
a4150,a,"Gram-negative sepsis, unspecified",Certain infectious and parasitic diseases,356,332,313,-0.06741573,-0.057228916,-0.120786517,1285,1313,1368,28,55,83
a4151,a,Sepsis due to Escherichia coli [E. coli],Certain infectious and parasitic diseases,1415,1265,1208,-0.106007067,-0.045059289,-0.146289753,509,531,552,22,21,43
a4152,a,Sepsis due to Pseudomonas,Certain infectious and parasitic diseases,295,261,304,-0.115254237,0.164750958,0.030508475,1460,1504,1394,44,-110,-66
a4153,a,Sepsis due to Serratia,Certain infectious and parasitic diseases,28,36,27,0.285714286,-0.25,-0.035714286,4971,4257,4896,-714,639,-75
a4159,a,Other Gram-negative sepsis,Certain infectious and parasitic diseases,663,587,730,-0.114630468,0.243611584,0.101055807,858,905,788,47,-117,-70
a4181,a,Sepsis due to Enterococcus,Certain infectious and parasitic diseases,346,280,334,-0.190751445,0.192857143,-0.034682081,1307,1445,1317,138,-128,10
a4189,a,Other specified sepsis,Certain infectious and parasitic diseases,484,1609,4479,2.324380165,1.783716594,8.254132231,1066,445,203,-621,-242,-863
a419,a,"Sepsis, unspecified organism",Certain infectious and parasitic diseases,16939,17062,16267,0.00726135,-0.046594772,-0.039671763,44,43,50,-1,7,6
a430,a,Pulmonary nocardiosis,Certain infectious and parasitic diseases,45,58,34,0.288888889,-0.413793103,-0.244444444,4007,3419,4438,-588,1019,431
a46,a,Erysipelas,Certain infectious and parasitic diseases,36,30,19,-0.166666667,-0.366666667,-0.472222222,4433,4628,5622,195,994,1189
a480,a,Gas gangrene,Certain infectious and parasitic diseases,179,168,209,-0.061452514,0.244047619,0.167597765,1938,1944,1730,6,-214,-208
a481,a,Legionnaires' disease,Certain infectious and parasitic diseases,44,28,37,-0.363636364,0.321428571,-0.159090909,4055,4785,4255,730,-530,200
a483,a,Toxic shock syndrome,Certain infectious and parasitic diseases,11,19,14,0.727272727,-0.263157895,0.272727273,6702,5654,6226,-1048,572,-476
a4901,a,"Methicillin susceptible Staphylococcus aureus infection, unspecified site",Certain infectious and parasitic diseases,136,75,68,-0.448529412,-0.093333333,-0.5,2250,2986,3171,736,185,921
a4902,a,"Methicillin resistant Staphylococcus aureus infection, unspecified site",Certain infectious and parasitic diseases,96,57,62,-0.40625,0.087719298,-0.354166667,2733,3444,3325,711,-119,592
a498,a,Other bacterial infections of unspecified site,Certain infectious and parasitic diseases,18,20,16,0.111111111,-0.2,-0.111111111,5912,5540,5969,-372,429,57
a499,a,"Bacterial infection, unspecified",Certain infectious and parasitic diseases,28,28,46,0,0.642857143,0.642857143,4961,4783,3858,-178,-925,-1103
a502,a,"Early congenital syphilis, unspecified",Certain infectious and parasitic diseases,15,15,12,0,-0.2,-0.2,6266,6121,6491,-145,370,225
a509,a,"Congenital syphilis, unspecified",Certain infectious and parasitic diseases,24,26,55,0.083333333,1.115384615,1.291666667,5295,4947,3537,-348,-1410,-1758
a5216,a,Charcot's arthropathy (tabetic),Certain infectious and parasitic diseases,30,38,33,0.266666667,-0.131578947,0.1,4811,4152,4501,-659,349,-310
a523,a,"Neurosyphilis, unspecified",Certain infectious and parasitic diseases,23,34,26,0.47826087,-0.235294118,0.130434783,5392,4345,4962,-1047,617,-430
a528,a,"Late syphilis, latent",Certain infectious and parasitic diseases,27,42,38,0.555555556,-0.095238095,0.407407407,5056,3970,4213,-1086,243,-843
a530,a,"Latent syphilis, unspecified as early or late",Certain infectious and parasitic diseases,63,61,91,-0.031746032,0.491803279,0.444444444,3429,3343,2728,-86,-615,-701
a539,a,"Syphilis, unspecified",Certain infectious and parasitic diseases,89,99,135,0.112359551,0.363636364,0.516853933,2840,2558,2205,-282,-353,-635
a5442,a,Gonococcal arthritis,Certain infectious and parasitic diseases,10,15,11,0.5,-0.266666667,0.1,6774,6115,6617,-659,502,-157
a549,a,"Gonococcal infection, unspecified",Certain infectious and parasitic diseases,43,48,93,0.11627907,0.9375,1.162790698,4093,3723,2685,-370,-1038,-1408
a5611,a,Chlamydial female pelvic inflammatory disease,Certain infectious and parasitic diseases,17,14,11,-0.176470588,-0.214285714,-0.352941176,6011,6254,6616,243,362,605
a562,a,"Chlamydial infection of genitourinary tract, unspecified",Certain infectious and parasitic diseases,53,51,42,-0.037735849,-0.176470588,-0.20754717,3715,3618,4028,-97,410,313
a568,a,Sexually transmitted chlamydial infection of other sites,Certain infectious and parasitic diseases,60,67,83,0.116666667,0.23880597,0.383333333,3500,3188,2856,-312,-332,-644
a5900,a,"Urogenital trichomoniasis, unspecified",Certain infectious and parasitic diseases,16,11,14,-0.3125,0.272727273,-0.125,6127,6623,6213,496,-410,86
a5901,a,Trichomonal vulvovaginitis,Certain infectious and parasitic diseases,67,44,48,-0.343283582,0.090909091,-0.28358209,3324,3892,3771,568,-121,447
a599,a,"Trichomoniasis, unspecified",Certain infectious and parasitic diseases,70,64,89,-0.085714286,0.390625,0.271428571,3243,3261,2761,18,-500,-482
a6000,a,"Herpesviral infection of urogenital system, unspecified",Certain infectious and parasitic diseases,471,411,402,-0.127388535,-0.02189781,-0.146496815,1088,1147,1175,59,28,87
a6002,a,Herpesviral infection of other male genital organs,Certain infectious and parasitic diseases,11,11,12,0,0.090909091,0.090909091,6683,6620,6478,-63,-142,-205
a6004,a,Herpesviral vulvovaginitis,Certain infectious and parasitic diseases,45,53,44,0.177777778,-0.169811321,-0.022222222,3997,3547,3936,-450,389,-61
a6009,a,Herpesviral infection of other urogenital tract,Certain infectious and parasitic diseases,96,106,175,0.104166667,0.650943396,0.822916667,2732,2461,1899,-271,-562,-833
a609,a,"Anogenital herpesviral infection, unspecified",Certain infectious and parasitic diseases,28,18,16,-0.357142857,-0.111111111,-0.428571429,4950,5747,5954,797,207,1004
a630,a,Anogenital (venereal) warts,Certain infectious and parasitic diseases,129,94,116,-0.271317829,0.234042553,-0.100775194,2308,2652,2386,344,-266,78
a6920,a,"Lyme disease, unspecified",Certain infectious and parasitic diseases,42,46,41,0.095238095,-0.108695652,-0.023809524,4125,3795,4069,-330,274,-56
a749,a,"Chlamydial infection, unspecified",Certain infectious and parasitic diseases,117,112,150,-0.042735043,0.339285714,0.282051282,2453,2407,2071,-46,-336,-382
a770,a,Spotted fever due to Rickettsia rickettsii,Certain infectious and parasitic diseases,13,17,15,0.307692308,-0.117647059,0.153846154,6480,5870,6077,-610,207,-403
a86,a,Unspecified viral encephalitis,Certain infectious and parasitic diseases,40,20,19,-0.5,-0.05,-0.525,4215,5522,5600,1307,78,1385
a879,a,"Viral meningitis, unspecified",Certain infectious and parasitic diseases,120,53,43,-0.558333333,-0.188679245,-0.641666667,2414,3544,3980,1130,436,1566
b001,b,Herpesviral vesicular dermatitis,Certain infectious and parasitic diseases,233,220,208,-0.055793991,-0.054545455,-0.107296137,1666,1684,1731,18,47,65
b002,b,Herpesviral gingivostomatitis and pharyngotonsillitis,Certain infectious and parasitic diseases,78,74,61,-0.051282051,-0.175675676,-0.217948718,3049,2999,3345,-50,346,296
b003,b,Herpesviral meningitis,Certain infectious and parasitic diseases,17,13,14,-0.235294118,0.076923077,-0.176470588,5996,6356,6199,360,-157,203
b004,b,Herpesviral encephalitis,Certain infectious and parasitic diseases,32,40,23,0.25,-0.425,-0.28125,4661,4047,5207,-614,1160,546
b0089,b,Other herpesviral infection,Certain infectious and parasitic diseases,60,36,41,-0.4,0.138888889,-0.316666667,3491,4230,4065,739,-165,574
b009,b,"Herpesviral infection, unspecified",Certain infectious and parasitic diseases,615,565,527,-0.081300813,-0.067256637,-0.143089431,900,925,990,25,65,90
b019,b,Varicella without complication,Certain infectious and parasitic diseases,15,27,24,0.8,-0.111111111,0.6,6238,4845,5125,-1393,280,-1113
b0229,b,Other postherpetic nervous system involvement,Certain infectious and parasitic diseases,184,173,134,-0.059782609,-0.225433526,-0.27173913,1906,1908,2208,2,300,302
b0230,b,"Zoster ocular disease, unspecified",Certain infectious and parasitic diseases,47,43,41,-0.085106383,-0.046511628,-0.127659574,3909,3906,4063,-3,157,154
b027,b,Disseminated zoster,Certain infectious and parasitic diseases,41,28,30,-0.317073171,0.071428571,-0.268292683,4163,4759,4672,596,-87,509
b028,b,Zoster with other complications,Certain infectious and parasitic diseases,32,23,25,-0.28125,0.086956522,-0.21875,4656,5187,5025,531,-162,369
b029,b,Zoster without complications,Certain infectious and parasitic diseases,462,459,402,-0.006493506,-0.124183007,-0.12987013,1101,1074,1174,-27,100,73
b081,b,Molluscum contagiosum,Certain infectious and parasitic diseases,20,14,18,-0.3,0.285714286,-0.1,5671,6229,5700,558,-529,29
b09,b,Unspecified viral infection characterized by skin and mucous membrane lesions,Certain infectious and parasitic diseases,32,34,23,0.0625,-0.323529412,-0.28125,4655,4322,5199,-333,877,544
b159,b,Hepatitis A without hepatic coma,Certain infectious and parasitic diseases,242,125,115,-0.483471074,-0.08,-0.524793388,1624,2282,2391,658,109,767
b169,b,Acute hepatitis B without delta-agent and without hepatic coma,Certain infectious and parasitic diseases,31,27,16,-0.129032258,-0.407407407,-0.483870968,4713,4839,5935,126,1096,1222
b1710,b,Acute hepatitis C without hepatic coma,Certain infectious and parasitic diseases,146,106,101,-0.273972603,-0.047169811,-0.308219178,2159,2455,2550,296,95,391
b179,b,"Acute viral hepatitis, unspecified",Certain infectious and parasitic diseases,207,210,225,0.014492754,0.071428571,0.086956522,1795,1727,1654,-68,-73,-141
b181,b,Chronic viral hepatitis B without delta-agent,Certain infectious and parasitic diseases,214,222,203,0.037383178,-0.085585586,-0.051401869,1756,1673,1759,-83,86,3
b182,b,Chronic viral hepatitis C,Certain infectious and parasitic diseases,3227,2796,2721,-0.133560583,-0.026824034,-0.156801983,252,281,292,29,11,40
b1910,b,Unspecified viral hepatitis B without hepatic coma,Certain infectious and parasitic diseases,371,275,296,-0.258760108,0.076363636,-0.202156334,1239,1453,1402,214,-51,163
b1920,b,Unspecified viral hepatitis C without hepatic coma,Certain infectious and parasitic diseases,3965,3503,3236,-0.116519546,-0.076220383,-0.183858764,219,231,252,12,21,33
b199,b,Unspecified viral hepatitis without hepatic coma,Certain infectious and parasitic diseases,16,28,36,0.75,0.285714286,1.25,6095,4750,4271,-1345,-479,-1824
b20,b,Human immunodeficiency virus [HIV] disease,Certain infectious and parasitic diseases,673,673,633,0,-0.059435364,-0.059435364,848,820,866,-28,46,18
b258,b,Other cytomegaloviral diseases,Certain infectious and parasitic diseases,67,56,51,-0.164179104,-0.089285714,-0.23880597,3305,3451,3645,146,194,340
b259,b,"Cytomegaloviral disease, unspecified",Certain infectious and parasitic diseases,187,152,141,-0.187165775,-0.072368421,-0.245989305,1883,2046,2126,163,80,243
b2700,b,Gammaherpesviral mononucleosis without complication,Certain infectious and parasitic diseases,51,47,46,-0.078431373,-0.021276596,-0.098039216,3762,3733,3832,-29,99,70
b2790,b,"Infectious mononucleosis, unspecified without complication",Certain infectious and parasitic diseases,27,32,27,0.185185185,-0.15625,0,5017,4450,4849,-567,399,-168
b3324,b,Viral cardiomyopathy,Certain infectious and parasitic diseases,25,34,45,0.36,0.323529412,0.8,5170,4311,3874,-859,-437,-1296
b338,b,Other specified viral diseases,Certain infectious and parasitic diseases,10,11,10,0.1,-0.090909091,0,6727,6582,6676,-145,94,-51
b340,b,"Adenovirus infection, unspecified",Certain infectious and parasitic diseases,14,21,17,0.5,-0.19047619,0.214285714,6330,5372,5807,-958,435,-523
b341,b,"Enterovirus infection, unspecified",Certain infectious and parasitic diseases,27,22,24,-0.185185185,0.090909091,-0.111111111,5017,5254,5106,237,-148,89
b348,b,Other viral infections of unspecified site,Certain infectious and parasitic diseases,242,168,102,-0.305785124,-0.392857143,-0.578512397,1620,1933,2526,313,593,906
b349,b,"Viral infection, unspecified",Certain infectious and parasitic diseases,433,550,287,0.270207852,-0.478181818,-0.337182448,1133,940,1431,-193,491,298
b350,b,Tinea barbae and tinea capitis,Certain infectious and parasitic diseases,23,18,12,-0.217391304,-0.333333333,-0.47826087,5347,5711,6436,364,725,1089
b353,b,Tinea pedis,Certain infectious and parasitic diseases,402,422,343,0.049751244,-0.187203791,-0.146766169,1181,1127,1288,-54,161,107
b354,b,Tinea corporis,Certain infectious and parasitic diseases,84,81,56,-0.035714286,-0.308641975,-0.333333333,2908,2854,3475,-54,621,567
b356,b,Tinea cruris,Certain infectious and parasitic diseases,217,240,194,0.105990783,-0.191666667,-0.105990783,1736,1570,1793,-166,223,57
b359,b,"Dermatophytosis, unspecified",Certain infectious and parasitic diseases,45,61,51,0.355555556,-0.163934426,0.133333333,3970,3317,3639,-653,322,-331
b360,b,Pityriasis versicolor,Certain infectious and parasitic diseases,15,10,11,-0.333333333,0.1,-0.266666667,6208,6689,6562,481,-127,354
b368,b,Other specified superficial mycoses,Certain infectious and parasitic diseases,36,35,35,-0.027777778,0,-0.027777778,4389,4257,4329,-132,72,-60
b369,b,"Superficial mycosis, unspecified",Certain infectious and parasitic diseases,145,150,149,0.034482759,-0.006666667,0.027586207,2153,2054,2069,-99,15,-84
b370,b,Candidal stomatitis,Certain infectious and parasitic diseases,1520,1501,1144,-0.0125,-0.237841439,-0.247368421,476,465,567,-11,102,91
b371,b,Pulmonary candidiasis,Certain infectious and parasitic diseases,63,57,98,-0.095238095,0.719298246,0.555555556,3399,3414,2586,15,-828,-813
b372,b,Candidiasis of skin and nail,Certain infectious and parasitic diseases,498,476,439,-0.044176707,-0.077731092,-0.118473896,1046,1038,1113,-8,75,67
b373,b,Candidiasis of vulva and vagina,Certain infectious and parasitic diseases,427,393,458,-0.079625293,0.165394402,0.072599532,1139,1161,1080,22,-81,-59
b3741,b,Candidal cystitis and urethritis,Certain infectious and parasitic diseases,44,37,52,-0.159090909,0.405405405,0.181818182,4012,4159,3602,147,-557,-410
b3742,b,Candidal balanitis,Certain infectious and parasitic diseases,15,14,17,-0.066666667,0.214285714,0.133333333,6201,6197,5793,-4,-404,-408
b3749,b,Other urogenital candidiasis,Certain infectious and parasitic diseases,394,452,590,0.147208122,0.305309735,0.497461929,1190,1079,906,-111,-173,-284
b377,b,Candidal sepsis,Certain infectious and parasitic diseases,113,101,147,-0.10619469,0.455445545,0.300884956,2478,2499,2075,21,-424,-403
b3781,b,Candidal esophagitis,Certain infectious and parasitic diseases,364,377,306,0.035714286,-0.188328912,-0.159340659,1247,1194,1370,-53,176,123
b3789,b,Other sites of candidiasis,Certain infectious and parasitic diseases,190,165,207,-0.131578947,0.254545455,0.089473684,1861,1945,1724,84,-221,-137
b379,b,"Candidiasis, unspecified",Certain infectious and parasitic diseases,423,426,444,0.007092199,0.042253521,0.04964539,1145,1114,1102,-31,-12,-43
b380,b,Acute pulmonary coccidioidomycosis,Certain infectious and parasitic diseases,520,461,710,-0.113461538,0.540130152,0.365384615,1017,1066,803,49,-263,-214
b381,b,Chronic pulmonary coccidioidomycosis,Certain infectious and parasitic diseases,165,151,159,-0.084848485,0.052980132,-0.036363636,1994,2039,1982,45,-57,-12
b382,b,"Pulmonary coccidioidomycosis, unspecified",Certain infectious and parasitic diseases,627,575,909,-0.082934609,0.580869565,0.449760766,885,909,667,24,-242,-218
b384,b,Coccidioidomycosis meningitis,Certain infectious and parasitic diseases,80,98,89,0.225,-0.091836735,0.1125,2981,2542,2727,-439,185,-254
b387,b,Disseminated coccidioidomycosis,Certain infectious and parasitic diseases,145,151,148,0.04137931,-0.01986755,0.020689655,2143,2038,2065,-105,27,-78
b3889,b,Other forms of coccidioidomycosis,Certain infectious and parasitic diseases,18,18,21,0,0.166666667,0.166666667,5840,5690,5347,-150,-343,-493
b389,b,"Coccidioidomycosis, unspecified",Certain infectious and parasitic diseases,304,353,379,0.161184211,0.073654391,0.246710526,1418,1239,1210,-179,-29,-208
b440,b,Invasive pulmonary aspergillosis,Certain infectious and parasitic diseases,24,15,15,-0.375,0,-0.375,5227,6045,6019,818,-26,792
b441,b,Other pulmonary aspergillosis,Certain infectious and parasitic diseases,68,86,94,0.264705882,0.093023256,0.382352941,3248,2753,2636,-495,-117,-612
b4481,b,Allergic bronchopulmonary aspergillosis,Certain infectious and parasitic diseases,35,26,25,-0.257142857,-0.038461538,-0.285714286,4427,4879,4985,452,106,558
b449,b,"Aspergillosis, unspecified",Certain infectious and parasitic diseases,57,81,100,0.421052632,0.234567901,0.754385965,3553,2837,2539,-716,-298,-1014
b451,b,Cerebral cryptococcosis,Certain infectious and parasitic diseases,23,14,13,-0.391304348,-0.071428571,-0.434782609,5321,6181,6279,860,98,958
b465,b,"Mucormycosis, unspecified",Certain infectious and parasitic diseases,13,17,12,0.307692308,-0.294117647,-0.076923077,6414,5810,6407,-604,597,-7
b488,b,Other specified mycoses,Certain infectious and parasitic diseases,57,63,62,0.105263158,-0.015873016,0.087719298,3553,3246,3281,-307,35,-272
b49,b,Unspecified mycosis,Certain infectious and parasitic diseases,170,142,180,-0.164705882,0.267605634,0.058823529,1971,2103,1853,132,-250,-118
b59,b,Pneumocystosis,Certain infectious and parasitic diseases,86,73,84,-0.151162791,0.150684932,-0.023255814,2850,2997,2795,147,-202,-55
b850,b,Pediculosis due to Pediculus humanus capitis,Certain infectious and parasitic diseases,138,140,167,0.014492754,0.192857143,0.210144928,2203,2119,1926,-84,-193,-277
b852,b,"Pediculosis, unspecified",Certain infectious and parasitic diseases,87,61,52,-0.298850575,-0.147540984,-0.402298851,2834,3296,3585,462,289,751
b86,b,Scabies,Certain infectious and parasitic diseases,89,64,62,-0.280898876,-0.03125,-0.303370787,2802,3218,3278,416,60,476
b871,b,Wound myiasis,Certain infectious and parasitic diseases,15,29,16,0.933333333,-0.448275862,0.066666667,6178,4625,5885,-1553,1260,-293
b888,b,Other specified infestations,Certain infectious and parasitic diseases,53,26,27,-0.509433962,0.038461538,-0.490566038,3662,4871,4816,1209,-55,1154
b91,b,Sequelae of poliomyelitis,Certain infectious and parasitic diseases,32,43,46,0.34375,0.069767442,0.4375,4610,3864,3801,-746,-63,-809
b948,b,Sequelae of other specified infectious and parasitic diseases,Certain infectious and parasitic diseases,25,24,294,-0.04,11.25,10.76,5134,5038,1395,-96,-3643,-3739
b950,b,"Streptococcus, group A, as the cause of diseases classified elsewhere",Certain infectious and parasitic diseases,273,373,294,0.366300366,-0.211796247,0.076923077,1500,1198,1395,-302,197,-105
b951,b,"Streptococcus, group B, as the cause of diseases classified elsewhere",Certain infectious and parasitic diseases,767,839,814,0.093872229,-0.029797378,0.061277705,766,695,720,-71,25,-46
b952,b,Enterococcus as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,1758,1734,1765,-0.013651877,0.017877739,0.003981797,426,418,418,-8,0,-8
b953,b,Streptococcus pneumoniae as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,72,88,53,0.222222222,-0.397727273,-0.263888889,3150,2706,3543,-444,837,393
b954,b,Other streptococcus as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,713,723,708,0.014025245,-0.020746888,-0.007012623,807,771,800,-36,29,-7
b9561,b,Methicillin susceptible Staphylococcus aureus infection as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,2190,1937,1949,-0.115525114,0.006195147,-0.110045662,349,375,390,26,15,41
b9562,b,Methicillin resistant Staphylococcus aureus infection as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,2498,2045,1979,-0.181345076,-0.032273839,-0.207766213,312,358,386,46,28,74
b957,b,Other staphylococcus as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,684,625,702,-0.08625731,0.1232,0.026315789,834,855,803,21,-52,-31
b958,b,Unspecified staphylococcus as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,257,237,270,-0.077821012,0.139240506,0.050583658,1542,1567,1466,25,-101,-76
b960,b,Mycoplasma pneumoniae [M. pneumoniae] as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,18,11,10,-0.388888889,-0.090909091,-0.444444444,5816,6528,6621,712,93,805
b961,b,Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,2988,2678,2951,-0.103748327,0.101941748,-0.012382865,263,286,274,23,-12,11
b9620,b,Unspecified Escherichia coli [E. coli] as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,7083,6447,6464,-0.089792461,0.002636885,-0.087392348,115,125,131,10,6,16
b9629,b,Other Escherichia coli [E. coli] as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,59,56,56,-0.050847458,0,-0.050847458,3475,3409,3440,-66,31,-35
b963,b,Hemophilus influenzae [H. influenzae] as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,59,72,26,0.220338983,-0.638888889,-0.559322034,3475,3011,4878,-464,1867,1403
b964,b,Proteus (mirabilis) (morganii) as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,812,801,801,-0.013546798,0,-0.013546798,731,712,724,-19,12,-7
b965,b,Pseudomonas (aeruginosa) (mallei) (pseudomallei) as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,1983,1731,1805,-0.127080182,0.042749856,-0.089762985,378,415,409,37,-6,31
b966,b,Bacteroides fragilis [B. fragilis] as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,153,162,160,0.058823529,-0.012345679,0.045751634,2065,1951,1958,-114,7,-107
b967,b,Clostridium perfringens [C. perfringens] as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,39,27,34,-0.307692308,0.259259259,-0.128205128,4205,4776,4348,571,-428,143
b9681,b,Helicobacter pylori [H. pylori] as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,294,259,238,-0.119047619,-0.081081081,-0.19047619,1432,1485,1579,53,94,147
b9689,b,Other specified bacterial agents as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,2528,2454,2431,-0.029272152,-0.009372453,-0.038370253,305,309,313,4,4,8
b970,b,Adenovirus as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,89,137,26,0.539325843,-0.810218978,-0.707865169,2787,2133,4872,-654,2739,2085
b9710,b,Unspecified enterovirus as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,367,355,134,-0.032697548,-0.622535211,-0.634877384,1223,1218,2165,-5,947,942
